SMILES,NR3C1,GRIN1,PDE4D,ADRB2,ADRB1,ADORA2A,MAOA,AR,PTGS1,PTGS2,HRH1,OPRK1,ACHE,HTR1B,CHRM2,OPRD1,CHRM1,SLC6A4,HTR2B,CNR1,KCNH2,DRD2,CNR2,ADRA2A,SCN5A,LCK,GABRA1,HTR3A,CCKAR,PDE3A,DRD1,HTR2A,KCNQ1,ADRA1A,CHRM3,OPRM1,CACNA1C,HTR1A,CHRNA4,SLC6A2,EDNRA,HRH2,SLC6A3,AVPR1A
C=C(C)[C@@H]1NC(=O)[C@@H](NC)[C@@H](O)c2cc(Cl)c(O)c(c2)O[C@](C)(CC)[C@@H](C(=O)N2CC=C[C@H]2C(=O)N/C(C(=O)N/C(=C/C(=O)O)C(=O)O)=C(\C)CC)NC1=O,0.0,-7.2,-9.5,-6.7,-7.5,0.0,0.0,0.0,0.0,-1.7,0.0,-8.6,-3.0,-6.6,0.0,-8.4,-4.9,-9.6,-5.3,0.0,-4.5,-7.9,0.0,-6.7,-9.5,-8.2,-2.9,-7.1,-7.2,-8.4,-4.4,-3.8,-7.2,0.0,0.0,-8.2,-9.5,-9.2,0.0,-5.7,-8.2,0.0,0.0,-7.3
C=C(C)[C@@H]1NC(=O)[C@H](NC)[C@H](O)c2cc(Cl)c(O)c(c2)O[C@](C)(CC)[C@@H](C(=O)N2CC=C[C@H]2C(=O)N/C(C(=O)N/C(=C/C(=O)O)C(=O)O)=C(\C)CC)NC1=O,0.0,-7.3,-9.6,-6.3,-8.0,0.0,0.0,0.0,0.0,-1.9,0.0,-8.9,-5.9,-8.2,0.0,-8.4,-3.9,-9.4,-5.9,0.0,-4.9,-8.3,0.0,-6.4,-9.1,-6.7,-4.6,-5.9,-6.2,-9.4,-2.6,-1.0,-6.6,0.0,0.0,-8.9,-9.6,-7.5,0.0,-7.1,-6.9,0.0,0.0,-7.8
C=C(C)[C@@H]1NC(=O)[C@@H](NC)[C@@H](O)c2cc(Cl)c(O)c(c2)O[C@](C)(CC)[C@H](C(=O)N2CC=C[C@H]2C(=O)N/C(C(=O)N/C(=C/C(=O)O)C(=O)O)=C(\C)CC)NC1=O,0.0,-7.1,-9.1,-6.4,-9.7,0.0,0.0,0.0,0.0,-3.9,-1.1,-8.9,-7.2,-8.4,0.0,-7.3,-3.7,-10.4,-5.8,0.0,-5.2,-7.2,0.0,-7.3,-8.9,-7.3,-4.9,-5.7,-6.5,-8.0,-5.5,-1.8,-7.4,-2.8,0.0,-8.7,-8.8,-7.8,0.0,-7.5,-7.7,0.0,0.0,-7.9
C[C@@H]1NC(=O)[C@H](C[C@@](C)(O)CO)NC(=O)[C@@H]2Cc3c([nH]c4ccccc34)SC[C@H](NC(=O)[C@@H]([C@H](C)O)NC1=O)C(=O)N1C[C@@H](O)C[C@H]1C(=O)N[C@@H](C)C(=O)N2,0.0,-7.1,-9.5,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5,0.0,0.0,0.0,-9.4,0.0,-7.2,-6.4,0.0,-5.3,-5.3,0.0,-7.4,-10.7,-6.6,-3.3,0.0,0.0,-9.9,-3.4,0.0,-7.7,0.0,0.0,-9.6,-10.7,-8.4,0.0,0.0,-8.3,0.0,0.0,-9.4
CC(C)[C@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](Cc2ccccc2)N(C)C1=O,0.0,-5.5,-7.1,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,-6.3,0.0,0.0,0.0,-8.9,0.0,-2.6,-5.1,0.0,-4.0,-1.0,0.0,-7.8,-11.4,-5.6,-3.0,0.0,0.0,-8.6,0.0,0.0,-7.5,0.0,0.0,-6.5,-9.7,-6.3,0.0,0.0,-8.1,0.0,0.0,-8.5
CCCC[C@@H](C)[C@@H](OC(=O)C[C@@H](CC(=O)O)C(=O)O)[C@H](C[C@@H](C)C[C@H](O)CCCC[C@H](O)C[C@@H](O)[C@@H](C)NC(C)=O)OC(=O)C[C@@H](CC(=O)O)C(=O)O,0.0,-5.8,-5.3,-7.0,-6.6,-0.5,0.0,0.0,-4.1,-2.2,-3.2,-5.8,-6.5,-6.6,0.0,-5.9,-6.2,-6.6,-5.0,-5.9,-2.9,-5.7,-4.4,-6.1,-6.3,-4.8,-4.6,-4.6,-6.3,-5.7,-5.5,-6.2,-5.1,-2.5,0.0,-6.3,-5.6,-6.1,0.0,-7.0,-4.9,-0.1,-5.8,-5.4
CCCC[C@@H](C)[C@@H](OC(=O)C[C@@H](CC(=O)O)C(=O)O)[C@H](C[C@@H](C)C[C@H](O)CCCC[C@@H](O)C[C@H](O)[C@H](C)NC(C)=O)OC(=O)C[C@@H](CC(=O)O)C(=O)O,0.0,-6.5,-5.8,-6.3,-6.5,0.0,0.0,0.0,-3.4,-2.5,-1.7,-6.1,-4.1,-6.8,0.0,-4.8,-4.5,-7.0,-4.5,-5.8,-3.3,-5.6,-4.0,-4.8,-6.7,-5.5,-5.4,-4.7,-6.0,-6.3,-6.1,-6.5,-4.8,-3.5,0.0,-6.0,-5.7,-6.3,0.0,-5.7,-4.9,-2.2,-3.4,-4.8
CCCC[C@@H](C)[C@@H](OC(=O)C[C@@H](CC(=O)O)C(=O)O)[C@H](C[C@@H](C)CCCCCC[C@@H](O)C[C@H](O)[C@H](C)N)OC(=O)C[C@@H](CC(=O)O)C(=O)O.O.O.O,0.0,-5.9,-5.8,-7.1,-6.6,-1.7,0.0,0.0,-5.3,-2.2,-0.5,-5.8,-5.0,-6.7,0.0,-5.6,-5.2,-7.3,-4.4,-5.6,-2.8,-5.4,-5.4,-5.4,-5.4,-5.2,-5.7,-5.8,-6.3,-6.5,-5.3,-6.3,-5.1,-3.9,0.0,-5.8,-5.8,-6.1,0.0,-6.5,-5.2,-2.8,-6.1,-5.4
C=C(C)[C@@H]1NC(=O)[C@@H](NC)[C@@H](O)c2ccc(O)c(c2)O[C@](C)(CC)[C@@H](C(=O)N2CC=C[C@H]2C(=O)N/C(C(=O)N/C(=C/C(=O)O)C(=O)O)=C(\C)CC)NC1=O,0.0,-8.3,-8.6,-3.8,-8.1,0.0,0.0,0.0,0.0,-4.2,0.0,-9.8,-2.6,-6.4,0.0,-8.8,-4.5,-10.0,-6.2,0.0,-5.3,-9.6,0.0,-7.1,-9.4,-8.1,-3.0,-6.4,-9.4,-8.8,-6.2,0.0,-7.8,0.0,0.0,-9.3,-8.3,-7.7,0.0,-8.5,-7.8,0.0,-3.7,-8.6
CCCC[C@@H](C)[C@@H](OC(=O)C[C@@H](CC(=O)O)C(=O)O)[C@H](C[C@@H](C)CCCCCC[C@H](O)C[C@@H](O)[C@@H](C)NC(C)=O)OC(=O)C[C@@H](CC(=O)O)C(=O)O,0.0,-5.7,-5.8,-6.0,-7.0,-3.9,0.0,0.0,-3.1,-1.8,-3.5,-6.0,-5.1,-7.5,0.0,-5.5,-5.7,-7.0,-5.4,-3.9,-2.8,-5.7,-3.6,-4.7,-6.1,-4.6,-6.2,-6.7,-6.6,-5.6,-5.9,-6.5,-4.8,-2.8,0.0,-6.0,-5.6,-6.3,0.0,-6.7,-5.2,-1.2,-3.0,-4.9
